name,title,website
Hal Abelson,Class of 1922 Professor,http://www.csail.mit.edu/user/1535
Elfar Adalsteinsson,Professor of  Electrical Engineering; Professor of Health Sciences &Technology; EECS Education Officer,http://www.rle.mit.edu/adalsteinsson
Anant Agarwal,"CEO, edX; Professor of Electrical Engineering and Computer Science; ",http://www.csail.mit.edu/user/723
Akintunde Akinwande,Professor of Electrical Engineering,http://mtlweb.mit.edu/~akinwand/
Mohammad Alizadeh,Assistant Professor of Computer Science,http://people.csail.mit.edu/alizadeh/
Saman Amarasinghe,EECS Associate Department Head; Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/693
Dimitri Antoniadis,Ray and Maria Stata Professor of Electrical Engineering Emeritus ,http://www-mtl.mit.edu/wpmu/daa/
 Arvind,Charles W. & Jennifer C. Johnson Professor in Computer Science and Engineering,http://www.csail.mit.edu/user/849
Arthur Baggeroer,"Professor of Mechanical, Ocean, and Electrical Engineering; Ford Professor of Engineering, Emeritus",http://www.rle.mit.edu/baggeroer
Hari Balakrishnan,Fujitsu Professor in Electrical Engineering and Computer Science,http://nms.csail.mit.edu/~hari
Marc A. Baldo,Professor of Electrical Engineering; Director; Research Laboratory of Electronics (RLE),http://www.rle.mit.edu/baldo
Regina Barzilay,Delta Electronics Professor of Electrical Engineering and Computer Science,http://people.csail.mit.edu/regina/
Adam Belay,Assistant Professor ,https://www.csail.mit.edu/person/adam-belay
Bonnie A. Berger,"Simons Professor of Mathematics; joint appointment, EECS; Head, Computation & Biology Group, CSAIL",http://people.csail.mit.edu/bab/
Karl Berggren,Professor of Electrical Engineering,http://www.rle.mit.edu/berggren
Tim Berners-Lee,"3COM Founders Professor of Engineering in the MIT School of Engineering, joint with EECS and CSAIL",http://www.csail.mit.edu/user/769
Dimitri Bertsekas,Jerry Mcafee (1940) Professor in Engineering,http://lids.mit.edu/people/faculty/bertsekas-dimitri.html
Robert Berwick,Professor of Computer Science and Engineering and Computational Linguistics,http://lids.mit.edu/people/faculty/berwick-robert.html
Sangeeta Bhatia,"John and Dorothy Wilson Professor of Biochemistry;Howard Hughes Medical Institute Investigator;Associate Member, Broad Institute",http://lmrt.mit.edu/about.html
Duane Boning,"Clarence J. LeBel Professor of Electrical Engineering;Director, MIT&MI; Cooperative Program; Associate Director, MTL",http://mtlweb.mit.edu/~boning/
Louis Braida,Henry Ellis Warren (1894) Professor,http://www.rle.mit.edu/braida
Guy Bresler,Bonnie and Marty (1964) Tenenbaum Career Development Professor,http://www.mit.edu/~gbresler/
Tamara Broderick,ITT Career Development Assistant Professor of Electrical Engineering and Computer Science,http://people.csail.mit.edu/tbroderick
Rodney Brooks,"Panasonic Professor of Robotics, Emeritus",http://www.csail.mit.edu/user/818
Vladimir Bulovic,"Fariborz Maseeh (1990) Professor in Emerging Technology;Associate Dean for Innovation, MIT School of Engineering",http://www.rle.mit.edu/bulovic
Michael Carbin,Jamieson Career Development Assistant Professor,http://people.csail.mit.edu/mcarbin/
Vincent Chan,Joan and Irwin M. (1957) Jacobs Professor,http://www.rle.mit.edu/chan
Anantha Chandrakasan,"Dean, MIT School of Engineering; Vannevar Bush Professor of Electrical Engineering and Computer Science",http://mtlweb.mit.edu/~anantha/
Adam Chlipala,Associate Professor of Computer Science,http://adam.chlipala.net/
Isaac Chuang,Professor of Electrical Engineering,http://www.rle.mit.edu/chuang
David Clark,Senior Research Scientist,http://www.csail.mit.edu/user/1526
Fernando Corbat¨®,"Professor of Computer Science and Engineering, Emeritus",http://www.csail.mit.edu/user/1539
Munther Dahleh,"William A. Coolidge Professor;Director, Institute for Data, Systems, & Society",http://lids.mit.edu/people/faculty/dahleh-munther.html
Luca Daniel,Professor of Electrical Engineering and Computer Science,http://www.rle.mit.edu/daniel
Constantinos Daskalakis,Professor of Electrical Engineering and Computer Science,http://www.csail.mit.edu/user/1825
Randall Davis,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/805
Jes¨²s del Alamo,"Donner Professor, EECS; Director, Microsystems Technology Laboratories (MTL)",http://mtlweb.mit.edu/~alamo/
Erik Demaine,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/666
Jack Dennis,"Professor of Computer Science and Engineering, Emeritus",http://www.csail.mit.edu/user/1552
Srini Devadas,Edwin Sibley Webster Professor of Electrical Engineering,http://www.csail.mit.edu/user/792
Fredo Durand,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/1091
Joel Emer,Professor of the Practice,http://www.csail.mit.edu/user/1060
Dirk R. Englund,Associate Professor of Electrical Engineering and Computer Science ,http://www.rle.mit.edu/qp/
Clifton Fonstad,Vitesse Professor of Electrical Engineering Emeritus,https://www.mtpv.com/company/leadership-board/dr-clifton-fonstad/
David Forney,Adjunct Professor of Electrical Engineering,http://lids.mit.edu/people/faculty/forney-david.html
Dennis Freeman,Henry Ellis Warren (1894) Professor of Electrical EngineeringEECS Education Co-Chair,http://www.rle.mit.edu/freeman
William Freeman,Thomas and Gerd Perkins Professor of Electrical Engineering and Computer Science,http://www.csail.mit.edu/user/800
James Fujimoto,Elihu Thomson Professor in Electrical Engineering,http://www.rle.mit.edu/fujimoto
Robert Gallager,"Professor of Electrical Engineering, Emeritus",http://www.rle.mit.edu/gallager
Manya Ghobadi,Assistant Professor,http://people.csail.mit.edu/ghobadi/
David Gifford,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/989
Shafi Goldwasser,RSA Professor ,http://www.csail.mit.edu/user/733
Polina Golland,Henry Ellis Warren (1894) Professor,http://www.csail.mit.edu/user/791
Martha Gray,J.W. Kieckhefer Professor of Health Sciences and Technology; Professor of Electrical Engineering and Computer Science,http://hst.mit.edu/users/mgraymitedu
W. Eric L. Grimson,MIT Chancellor for Academic Advancement; Bernard M. Gordon Professor of Medical Engineering,http://www.csail.mit.edu/user/807
Alan Grodzinsky,"Professor of Electrical, Mechanical and Biological Engineering; Director, Center for Biomedical Engineering",http://web.mit.edu/continuum/www/
John Guttag,Dugald C. Jackson Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/798
Peter Hagelstein,Associate Professor of Electrical Engineering,http://www.rle.mit.edu/hagelstein
Jongyoon Han,Professor of Electrical Engineering and Biological Engineering,http://www.rle.mit.edu/han
Ruonan Han,Associate Professor of Electrical Engineering and Computer Science,http://www-mtl.mit.edu/wpmu/han/
Song Han,Assistant Professor of EECS,https://stanford.edu/~songhan/
Thomas Heldt,Associate Professor of Electrical and Biomedical EngineeringW.M. Keck Career Development Professor,http://www.rle.mit.edu/people/directory/thomas-heldt/
Berthold Horn,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/802
Qing Hu,Distinguished Professor of Electrical Engineering and Computer Science,http://www.rle.mit.edu/hu
Piotr Indyk,Thomas D. and Virginia W. Cabot Professor,http://www.csail.mit.edu/user/1540
Erich Ippen,Elihu Thomson Professor of Electrical Engineering and Physics,http://www.rle.mit.edu/ippen
Phillip Isola,Assistant Professor of EECS,https://people.eecs.berkeley.edu/~isola/
Tommi Jaakkola,Thomas Siebel Professor in EECS and IDSS,http://people.csail.mit.edu/tommi/tommi.html
Daniel Jackson,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/727
Patrick Jaillet,"Dugald C. Jackson Professor of Electrical Engineering and Computer Science; Co-Director, MIT Operations Research Center",http://lids.mit.edu/people/faculty/jaillet-patrick.html
Stefanie Jegelka,X-Window Consortium Career Development Assistant Professor,http://people.csail.mit.edu/stefje
M. Frans Kaashoek,Charles A. Piper (1935) Professor ,http://www.csail.mit.edu/user/1525
Leslie Kaelbling,Panasonic Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/808
David Karger,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/1542
John Kassakian,Professor of Electrical Engineering,http://www.rle.mit.edu/kassakian
Dina Katabi,Andrew (1956) and Erna Viterbi Professor of Electrical Engineering and Computer Science,http://www.csail.mit.edu/user/687
Manolis Kellis,Professor of Computer Science,http://www.csail.mit.edu/user/1562
"James Kirtley, Jr.",Professor of Electrical Engineering,http://bit.ly/2hxq1oC
Leslie Kolodziejski,EECS Graduate Officer; Professor of Electrical Engineering,http://www.rle.mit.edu/kolodziejski
Jing Kong,Professor of Electrical Engineering,http://www.rle.mit.edu/jkong
Tim Kraska ,,https://www.csail.mit.edu/person/tim-kraska
Butler Lampson,Adjunct Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/1575
Jeffrey Lang,Vitesse Professor of Electrical Engineering,http://www.rle.mit.edu/lang
Hae-Seung Lee,Advanced Television and Signal Processing (ATSP) Professor of Electrical Engineering,http://www-mtl.mit.edu/researchgroups/hslee/
Steven Leeb,Professor of Electrical and Mechanical Engineering; MacVicar Faculty Fellow,http://www.rle.mit.edu/leeb
Charles Leiserson,Edwin Sibley Webster Professor; Professor of Computer Science and Engineering MacVicar Faculty Fellow,http://www.csail.mit.edu/user/960
Jae Lim,Professor of Electrical Engineering,http://www.rle.mit.edu/lim
Barbara Liskov,Insitute Professor,http://www.csail.mit.edu/user/971
Luqiao Liu,Assistant Professor,http://www.rle.mit.edu/people/directory/luqiao-liu/
Andrew W. Lo,Charles E. and Susan T. Harris Professor; joint professor with Sloan School of Management & EECS,https://www.csail.mit.edu/person/andrew-lo
Tom¨¢s Lozano-P¨¦rez,School of Engineering Professor in Teaching Excellence; MacVicar Faculty Fellow,http://www.csail.mit.edu/user/810
Timothy Lu,Associate Professor of Electrical Engineering,http://www.rle.mit.edu/sbg/
Nancy Lynch,EECS Associate Department Head for Strategic Direction; NEC Professor of Software Science and Engineering,http://www.csail.mit.edu/user/990
Samuel Madden,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/877
Aleksander Madry,Associate Professor of Computer Science,http://people.csail.mit.edu/madry/
Thomas Magnanti,Institute Professor,http://www.csail.mit.edu/user/1327
Roger Mark,Distinguished Professor of Health Sciences and Technology; Professor of EECS,http://imes.mit.edu/people/faculty/mark-roger/
Wojciech Matusik,Esther and Harold E. Edgerton Associate Professor,http://people.csail.mit.edu/wojciech/
Muriel M¨¦dard,Cecil H. Green Professor of Electrical Engineering and Computer Science,http://www.rle.mit.edu/medard/
Alexandre Megretski,Professor of Electrical Engineering,http://lids.mit.edu/people/faculty/megretski-alex.html
Albert Meyer,Hitachi America Professor of Engineering,http://www.csail.mit.edu/user/993
Silvio Micali,Ford Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/994
Rob Miller,Distinguished Professor of Computer ScienceMacVicar Faculty Fellow,http://www.csail.mit.edu/user/698
Sanjoy Mitter,Professor of Electrical Engineering and Engineering Systems,http://lids.mit.edu/people/faculty/mitter-sanjoy.html
Robert Morris,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/972
Joel Moses,Professor of Computer Science and Engineering and Engineering Systems; Institute Professor,http://www.csail.mit.edu/user/1000
